,Unnamed: 0,CODE_GENDER_M,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Occup2,OCCUPATION_TYPE_Occup3,OCCUPATION_TYPE_Occup4,OCCUPATION_TYPE_Occup5,OCCUPATION_TYPE_Occup6,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,months_in_book,Cluster
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5126174,0,0,27000.0,-14869,-5067,1,0,0,2.0,49,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5126175,0,0,27000.0,-14869,-5067,1,0,0,2.0,49,1
2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5054382,0,0,31500.0,-20836,365243,0,0,0,2.0,13,0
3,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132319,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
4,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132320,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
5,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132321,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
6,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132322,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
7,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132323,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
8,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132324,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
9,9,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132325,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
10,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132326,0,0,33300.0,-19605,365243,0,0,0,2.0,276,0
11,11,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5024925,0,0,33750.0,-19054,365243,0,0,0,2.0,8,0
12,12,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5090400,0,0,36000.0,-14500,-459,1,0,0,2.0,53,1
13,13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5025234,0,0,36000.0,-14846,-154,1,0,0,1.0,54,1
14,14,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137322,0,0,36900.0,-22581,365243,0,0,0,2.0,212,0
15,15,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137323,0,0,36900.0,-22581,365243,0,0,0,2.0,212,0
16,16,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137325,0,0,36900.0,-22581,365243,0,0,0,2.0,212,0
17,17,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137326,0,0,36900.0,-22581,365243,0,0,0,2.0,212,0
18,18,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137327,0,0,36900.0,-22581,365243,0,0,0,2.0,212,0
19,19,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5009264,0,0,40500.0,-21091,365243,0,0,0,1.0,12,0
20,20,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5132836,0,0,45000.0,-19418,365243,0,1,0,2.0,6,0
21,21,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5132837,0,0,45000.0,-19418,365243,0,1,0,2.0,6,0
22,22,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125661,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
23,23,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125662,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
24,24,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125663,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
25,25,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125664,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
26,26,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125665,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
27,27,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125666,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
28,28,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125667,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
29,29,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125669,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
30,30,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125670,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
31,31,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125671,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
32,32,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125672,0,0,45000.0,-18532,-3666,1,1,0,2.0,315,1
33,33,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5010795,0,0,45000.0,-13941,-5334,1,1,0,2.0,6,1
34,34,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5010796,0,0,45000.0,-13941,-5334,1,1,0,2.0,6,1
35,35,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095826,0,0,45000.0,-18406,-3111,1,0,0,2.0,61,1
36,36,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095827,0,0,45000.0,-18406,-3111,1,0,0,2.0,61,1
37,37,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095829,0,0,45000.0,-18406,-3111,1,0,0,2.0,61,1
38,38,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5091595,0,0,45000.0,-17808,-2849,1,0,0,2.0,43,1
39,39,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5091596,0,0,45000.0,-17808,-2849,1,0,0,2.0,43,1
40,40,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5009585,0,0,45000.0,-14374,-798,0,1,0,1.0,43,1
41,41,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5009586,0,0,45000.0,-14374,-798,0,1,0,1.0,43,1
42,42,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5035778,0,0,45000.0,-19906,-5547,0,0,0,1.0,15,1
43,43,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5036873,0,0,47250.0,-23815,365243,0,0,0,2.0,49,0
44,44,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5036875,0,0,47250.0,-23815,365243,0,0,0,2.0,49,0
45,45,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142933,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
46,46,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142934,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
47,47,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142935,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
48,48,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142936,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
49,49,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142937,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
50,50,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142938,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
51,51,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142939,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
52,52,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142940,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
53,53,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142941,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
54,54,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142945,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
55,55,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142946,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
56,56,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142947,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
57,57,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142948,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
58,58,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142949,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
59,59,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142950,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
60,60,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5142951,0,0,49500.0,-21157,365243,0,0,0,2.0,272,0
61,61,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5114426,0,0,49500.0,-23753,365243,0,0,0,2.0,74,0
62,62,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5114427,0,0,49500.0,-23753,365243,0,0,0,2.0,74,0
63,63,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5114428,0,0,49500.0,-23753,365243,0,0,0,2.0,74,0
64,64,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5051056,0,0,49500.0,-23871,365243,0,0,0,1.0,106,0
65,65,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5051057,0,0,49500.0,-23871,365243,0,0,0,1.0,106,0
66,66,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5051058,0,0,49500.0,-23871,365243,0,0,0,1.0,106,0
67,67,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5051059,0,0,49500.0,-23871,365243,0,0,0,1.0,106,0
68,68,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5125533,0,0,49500.0,-18587,-195,1,0,0,2.0,38,1
69,69,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5125534,0,0,49500.0,-18587,-195,1,0,0,2.0,38,1
70,70,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5095563,0,0,49500.0,-11624,-949,1,1,0,2.0,23,1
71,71,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5095564,0,0,49500.0,-11624,-949,1,1,0,2.0,23,1
72,72,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5095565,0,0,49500.0,-11624,-949,1,1,0,2.0,23,1
73,73,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137046,0,0,54000.0,-22702,365243,0,0,0,2.0,96,0
74,74,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137047,0,0,54000.0,-22702,365243,0,0,0,2.0,96,0
75,75,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5091837,0,0,54000.0,-22780,365243,0,0,0,2.0,5,0
76,76,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096307,0,0,54000.0,-20106,365243,0,1,0,2.0,30,0
77,77,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096308,0,0,54000.0,-20106,365243,0,1,0,2.0,30,0
78,78,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5018496,0,0,54000.0,-20621,365243,0,0,0,1.0,16,0
79,79,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5146119,0,0,54000.0,-20132,365243,0,0,0,1.0,17,0
80,80,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5146120,0,0,54000.0,-20132,365243,0,0,0,1.0,17,0
81,81,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5146121,0,0,54000.0,-20132,365243,0,0,0,1.0,17,0
82,82,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5146123,0,0,54000.0,-20132,365243,0,0,0,1.0,17,0
