,CODE_GENDER_M,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Occup2,OCCUPATION_TYPE_Occup3,OCCUPATION_TYPE_Occup4,OCCUPATION_TYPE_Occup5,OCCUPATION_TYPE_Occup6,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,customer_type,months_in_book
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5126174,0,0,27000.0,-14869,-5067,1,0,0,2.0,0,49
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5126175,0,0,27000.0,-14869,-5067,1,0,0,2.0,0,49
2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5054382,0,0,31500.0,-20836,365243,0,0,0,2.0,0,13
3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132319,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132320,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132321,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132322,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132323,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132324,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
9,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132325,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5132326,0,0,33300.0,-19605,365243,0,0,0,2.0,0,276
11,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5024925,0,0,33750.0,-19054,365243,0,0,0,2.0,0,8
12,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5090400,0,0,36000.0,-14500,-459,1,0,0,2.0,0,53
13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5025234,0,0,36000.0,-14846,-154,1,0,0,1.0,0,54
14,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137322,0,0,36900.0,-22581,365243,0,0,0,2.0,0,212
15,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137323,0,0,36900.0,-22581,365243,0,0,0,2.0,0,212
16,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137325,0,0,36900.0,-22581,365243,0,0,0,2.0,0,212
17,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137326,0,0,36900.0,-22581,365243,0,0,0,2.0,0,212
18,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5137327,0,0,36900.0,-22581,365243,0,0,0,2.0,0,212
19,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5009264,0,0,40500.0,-21091,365243,0,0,0,1.0,0,12
20,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5132836,0,0,45000.0,-19418,365243,0,1,0,2.0,0,6
21,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5132837,0,0,45000.0,-19418,365243,0,1,0,2.0,0,6
22,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125661,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
23,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125662,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
24,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125663,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
25,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125664,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
26,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125665,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
27,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125666,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
28,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125667,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
29,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125669,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
30,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125670,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
31,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125671,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
32,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5125672,0,0,45000.0,-18532,-3666,1,1,0,2.0,0,315
33,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5010795,0,0,45000.0,-13941,-5334,1,1,0,2.0,0,6
34,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5010796,0,0,45000.0,-13941,-5334,1,1,0,2.0,0,6
35,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095826,0,0,45000.0,-18406,-3111,1,0,0,2.0,0,61
36,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095827,0,0,45000.0,-18406,-3111,1,0,0,2.0,0,61
37,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5095829,0,0,45000.0,-18406,-3111,1,0,0,2.0,0,61
38,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5091595,0,0,45000.0,-17808,-2849,1,0,0,2.0,0,43
39,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5091596,0,0,45000.0,-17808,-2849,1,0,0,2.0,0,43
40,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5009585,0,0,45000.0,-14374,-798,0,1,0,1.0,0,43
41,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5009586,0,0,45000.0,-14374,-798,0,1,0,1.0,0,43
42,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5035778,0,0,45000.0,-19906,-5547,0,0,0,1.0,0,15
43,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5036873,0,0,47250.0,-23815,365243,0,0,0,2.0,0,49
